player_name,season,cii,tii,cii_archetype,tii_archetype,archetype_2d,career_leverage_mean,career_positive_seasons,career_negative_seasons,career_pattern,has_creation_tools,reasoning,cii_components,tii_components,confidence
AJ Green,2024-25,14.48,45.0,Role Player,Limited Scaling,Role Player,-0.051,0,1,Hides,False,"Low CII 14.5, low TII 45.0","{'self_created': np.float64(6.55), 'pressure_appetite': np.float64(10.0), 'difficulty_embrace': np.float64(15.43), 'defensive_survival': np.float64(44.55), 'force_multiplication': np.float64(2.45)}","{'scaling_efficiency': np.float64(30.855528382369023), 'pressure_appetite': np.float64(19.600000000000005), 'creation_tools': np.float64(49.142563950029746), 'opportunity_response': np.float64(83.40285714285714), 'age_trajectory': np.float64(85.0)}",Medium
Aaron Gordon,2024-25,26.31,54.79,Role Player,Moderate Scaling,Role Player,-0.05459999999999996,0,10,Hides,False,"Low CII 26.3, low TII 54.8, no creation tools","{'self_created': np.float64(25.72), 'pressure_appetite': np.float64(17.81), 'difficulty_embrace': np.float64(18.26), 'defensive_survival': np.float64(48.62), 'force_multiplication': np.float64(31.96)}","{'scaling_efficiency': np.float64(61.798556949942444), 'pressure_appetite': np.float64(22.400000000000002), 'creation_tools': np.float64(58.31099746481336), 'opportunity_response': np.float64(88.77714285714286), 'age_trajectory': np.float64(56.67)}",High
Aaron Nesmith,2024-25,15.21,44.3,Role Player,Limited Scaling,Role Player,-0.025666666666666667,1,2,Hides,False,"Low CII 15.2, low TII 44.3","{'self_created': np.float64(6.16), 'pressure_appetite': np.float64(14.33), 'difficulty_embrace': np.float64(13.9), 'defensive_survival': np.float64(43.28), 'force_multiplication': np.float64(5.03)}","{'scaling_efficiency': np.float64(32.35288117200217), 'pressure_appetite': np.float64(22.0), 'creation_tools': np.float64(38.88319545476157), 'opportunity_response': np.float64(85.47714285714285), 'age_trajectory': np.float64(85.0)}",Medium
Aaron Wiggins,2024-25,30.11,54.53,Role Player,Moderate Scaling,Role Player,-0.03624999999999997,1,3,Hides,False,"Low CII 30.1, low TII 54.5, no creation tools","{'self_created': np.float64(16.85), 'pressure_appetite': np.float64(47.73), 'difficulty_embrace': np.float64(11.39), 'defensive_survival': np.float64(57.0), 'force_multiplication': np.float64(22.9)}","{'scaling_efficiency': np.float64(30.560076923076917), 'pressure_appetite': np.float64(72.49999999999997), 'creation_tools': np.float64(39.95650406504065), 'opportunity_response': np.float64(76.09142857142857), 'age_trajectory': np.float64(78.33)}",High
Al Horford,2024-25,16.04,34.21,Role Player,Low Scaling,Role Player,-0.027333333333333334,1,8,Hides,False,"Low CII 16.0, low TII 34.2, no creation tools","{'self_created': np.float64(0.79), 'pressure_appetite': np.float64(34.04), 'difficulty_embrace': np.float64(1.1), 'defensive_survival': np.float64(42.0), 'force_multiplication': np.float64(7.71)}","{'scaling_efficiency': np.float64(11.950105208603258), 'pressure_appetite': np.float64(69.20588235294115), 'creation_tools': np.float64(11.107173601147776), 'opportunity_response': np.float64(60.65714285714286), 'age_trajectory': np.int64(20)}",High
Alex Caruso,2024-25,26.98,44.37,Role Player,Limited Scaling,Role Player,-0.014333333333333318,2,4,Mixed,False,"Low CII 27.0, low TII 44.4, no creation tools","{'self_created': np.float64(3.62), 'pressure_appetite': np.float64(58.17), 'difficulty_embrace': np.float64(4.94), 'defensive_survival': np.float64(58.67), 'force_multiplication': np.float64(15.59)}","{'scaling_efficiency': np.float64(17.186951470004843), 'pressure_appetite': np.float64(89.2), 'creation_tools': np.float64(24.423441734417345), 'opportunity_response': np.float64(53.542857142857144), 'age_trajectory': np.float64(40.01)}",High
Alex Sarr,2024-25,15.96,29.28,Role Player,Low Scaling,Role Player,-0.073,0,1,Hides,False,"Low CII 16.0, low TII 29.3","{'self_created': np.float64(5.09), 'pressure_appetite': np.float64(19.5), 'difficulty_embrace': np.float64(11.57), 'defensive_survival': np.float64(33.7), 'force_multiplication': np.float64(21.86)}","{'scaling_efficiency': np.float64(5.903624724740104), 'pressure_appetite': np.float64(10.800000000000004), 'creation_tools': np.float64(33.39365500176741), 'opportunity_response': np.float64(54.22857142857143), 'age_trajectory': np.int64(100)}",Medium
Alperen Sengun,2024-25,43.26,54.01,Fragile Star,Moderate Scaling,Role Player,0.008000000000000004,2,2,Mixed,False,"Mixed career leverage, no tools, low CII","{'self_created': np.float64(28.04), 'pressure_appetite': np.float64(69.03), 'difficulty_embrace': np.float64(13.19), 'defensive_survival': np.float64(52.94), 'force_multiplication': np.float64(70.13)}","{'scaling_efficiency': np.float64(26.342092040309318), 'pressure_appetite': np.float64(78.19768339768338), 'creation_tools': np.float64(39.26724895627335), 'opportunity_response': np.float64(58.0), 'age_trajectory': np.int64(100)}",High
Amen Thompson,2024-25,26.45,45.35,Role Player,Limited Scaling,Role Player,-0.03649999999999995,0,2,Hides,False,"Low CII 26.4, low TII 45.4","{'self_created': np.float64(33.05), 'pressure_appetite': np.float64(14.83), 'difficulty_embrace': np.float64(13.97), 'defensive_survival': np.float64(47.8), 'force_multiplication': np.float64(28.6)}","{'scaling_efficiency': np.float64(25.263556676905072), 'pressure_appetite': np.float64(22.80000000000004), 'creation_tools': np.float64(46.97902249952732), 'opportunity_response': np.float64(84.5), 'age_trajectory': np.int64(100)}",Medium
Amir Coffey,2024-25,12.34,41.56,Role Player,Limited Scaling,Role Player,-0.04599999999999995,0,2,Hides,False,"Low CII 12.3, low TII 41.6","{'self_created': np.float64(6.93), 'pressure_appetite': np.float64(10.0), 'difficulty_embrace': np.float64(17.24), 'defensive_survival': np.float64(22.84), 'force_multiplication': np.float64(8.82)}","{'scaling_efficiency': np.float64(33.45996261682243), 'pressure_appetite': np.float64(10.000000000000004), 'creation_tools': np.float64(48.93373983739838), 'opportunity_response': np.float64(84.91142857142857), 'age_trajectory': np.float64(64.99000000000001)}",Medium
