player_name,season,cii_archetype,tii_archetype,combined_archetype,confidence,notes
# =============================================================================
# 2D GROUND TRUTH LABELS (CII × TII Classification)
# =============================================================================
#
# CII Archetypes (Current Creation Independence):
#   - Engine: CII 80+ (can be #1 now)
#   - Strong Creator: CII 60-80 (high creation)
#   - Developing: CII 40-60 (building skills)
#   - Role Player: CII <40 (limited creation)
#
# TII Archetypes (Trajectory Independence):
#   - Elite Scaling: TII 80+ (would be Engine if given opportunity)
#   - High Scaling: TII 65-80 (strong candidate for growth)
#   - Moderate Scaling: TII 50-65 (unclear ceiling)
#   - Limited Scaling: TII <50 (ceiling-constrained)
#
# Combined Archetypes:
#   - Franchise Engine: High CII, any TII (already there)
#   - Latent Engine: Med CII, High TII (THE ALPHA - undervalued)
#   - Strong Creator: Med CII, Med TII
#   - Luxury Amplifier: Med CII, Low TII (good but capped)
#   - Developing Star: Low CII, High TII (raw upside)
#   - Fragile Star: Stats but fatal creation flaws
#   - Role Player: Low CII, Low TII
#
# =============================================================================

# =============================================================================
# FRANCHISE ENGINES - Already proven elite (High CII, any TII)
# =============================================================================
James Harden,2018-19,Engine,Elite Scaling,Franchise Engine,High,"Peak Harden. 36 PPG, elite ISO, proven playoff performer."
James Harden,2019-20,Engine,Elite Scaling,Franchise Engine,High,"Still elite creation. Led league in ISO."
Luka Dončić,2021-22,Engine,Elite Scaling,Franchise Engine,High,"Age 22. 28/9/9. Elite creation fully realized."
Luka Dončić,2022-23,Engine,Elite Scaling,Franchise Engine,High,"Peak Luka. MVP candidate. Maximum creation."
Nikola Jokić,2020-21,Engine,Elite Scaling,Franchise Engine,High,"First MVP. Hub creation at maximum. 70% TS."
Nikola Jokić,2021-22,Engine,Elite Scaling,Franchise Engine,High,"Back-to-back MVP. Elite hub creator."
Nikola Jokić,2022-23,Engine,Elite Scaling,Franchise Engine,High,"Third MVP. Peak hub creation. 70% TS, 10.5 touch prod."
Shai Gilgeous-Alexander,2022-23,Engine,Elite Scaling,Franchise Engine,High,"Breakout MVP candidate. 31 PPG, elite mid-range."
Shai Gilgeous-Alexander,2023-24,Engine,Elite Scaling,Franchise Engine,High,"MVP. Elite creation fully proven."
Joel Embiid,2021-22,Engine,High Scaling,Franchise Engine,High,"MVP runner-up. Elite post creation."
Joel Embiid,2022-23,Engine,High Scaling,Franchise Engine,High,"MVP. Peak Embiid. Elite creation."
Giannis Antetokounmpo,2020-21,Engine,High Scaling,Franchise Engine,High,"Championship. Force creation proven in playoffs."
Giannis Antetokounmpo,2021-22,Engine,High Scaling,Franchise Engine,High,"Peak Giannis. Maximum force multiplication."
Jayson Tatum,2021-22,Engine,Elite Scaling,Franchise Engine,High,"Finals run. Creation fully developed."
Jayson Tatum,2022-23,Engine,Elite Scaling,Franchise Engine,High,"Elite two-way. Shot creation proven."

# =============================================================================
# LATENT ENGINES - The Alpha (Med CII, High TII)
# These players were undervalued but became Engines
# =============================================================================
Jalen Brunson,2020-21,Developing,Elite Scaling,Latent Engine,High,"KEY CASE: Mavs backup. USG 0.196, TS 0.618, CVR 0.69, positive leverage. Breakout came 2022-23."
Jalen Brunson,2021-22,Strong Creator,Elite Scaling,Latent Engine,High,"Playoff explosion vs Jazz (41 pts). Creation scaling visible."
James Harden,2011-12,Strong Creator,Elite Scaling,Latent Engine,High,"OKC 6th man. Elite ISO EFG at low volume. Became MVP immediately after."
James Harden,2012-13,Engine,Elite Scaling,Franchise Engine,High,"First Houston year. 26 PPG. Proved scaling."
Shai Gilgeous-Alexander,2019-20,Developing,High Scaling,Latent Engine,Medium,"With CP3. Creation tools present, limited touches."
Shai Gilgeous-Alexander,2020-21,Strong Creator,Elite Scaling,Latent Engine,High,"24 PPG after CP3 trade. Scaling confirmed."
Tyrese Maxey,2022-23,Developing,High Scaling,Latent Engine,High,"With Harden. Pull-up development visible. Positive pressure."
Tyrese Maxey,2023-24,Strong Creator,Elite Scaling,Latent Engine,High,"Post-Harden emergence. 25+ PPG. Creation scaling."
Anthony Edwards,2021-22,Strong Creator,Elite Scaling,Latent Engine,High,"Age 20. High volume, tools developing. Alpha mentality."
Anthony Edwards,2022-23,Engine,Elite Scaling,Franchise Engine,High,"Breakout confirmed. Elite creation."
Jaylen Brown,2020-21,Strong Creator,High Scaling,Latent Engine,Medium,"Age 24. Creation developing alongside Tatum."
Donovan Mitchell,2017-18,Strong Creator,High Scaling,Latent Engine,High,"Rookie playoffs. Elite scoring creation visible."

# =============================================================================
# STRONG CREATORS - Good creation, unclear ceiling (Med CII, Med TII)
# =============================================================================
Tyrese Haliburton,2022-23,Strong Creator,Moderate Scaling,Strong Creator,High,"All-Star. Elite PnR creation. Question: can he be #1 on champion?"
Tyrese Haliburton,2023-24,Strong Creator,Moderate Scaling,Strong Creator,High,"Continued growth. Playmaking elite. Scoring ceiling unclear."
Devin Booker,2020-21,Strong Creator,Moderate Scaling,Strong Creator,High,"Finals run. Elite shot making. #2 behind CP3."
Devin Booker,2022-23,Strong Creator,Moderate Scaling,Strong Creator,High,"Post-CP3. Creation improved but ceiling question remains."
Kyrie Irving,2016-17,Strong Creator,High Scaling,Strong Creator,High,"Elite creation. Handle elite. Question: can he lead?"
Kyrie Irving,2020-21,Strong Creator,Moderate Scaling,Strong Creator,High,"Brooklyn. Elite skills but leadership questions."
De'Aaron Fox,2022-23,Strong Creator,Moderate Scaling,Strong Creator,High,"Career year. Elite speed creation. Efficiency inconsistent."

# =============================================================================
# LUXURY AMPLIFIERS - Good but ceiling-limited (Med CII, Low TII)
# =============================================================================
