player_name,season,cii,tii,cii_archetype,tii_archetype,archetype_2d,career_leverage_mean,career_positive_seasons,career_negative_seasons,career_pattern,has_creation_tools,reasoning,cii_components,tii_components,confidence
Jordan Poole,2024-25,67.09,76.84,Luxury Amplifier,High Scaling,Fragile Star,0.0076,1,4,Mixed,False,"Mixed career leverage (+0.008), NO tools: Empty stats","{'self_created': np.float64(65.8), 'pressure_appetite': np.float64(85.67), 'difficulty_embrace': np.float64(48.49), 'defensive_survival': np.float64(72.57), 'force_multiplication': np.float64(53.45)}","{'scaling_efficiency': np.float64(66.6931914372248), 'pressure_appetite': np.float64(86.91921708185052), 'creation_tools': np.float64(73.55), 'opportunity_response': np.float64(83.72), 'age_trajectory': np.float64(78.33)}",High
Coby White,2024-25,52.77,74.44,Fragile Star,High Scaling,Fragile Star,-0.044999999999999984,1,5,Hides,False,"Negative career leverage (-0.045, 1+/5-), NO creation tools: Fundamental skill gaps","{'self_created': np.float64(55.32), 'pressure_appetite': np.float64(58.75), 'difficulty_embrace': np.float64(38.31), 'defensive_survival': np.float64(64.04), 'force_multiplication': np.float64(42.2)}","{'scaling_efficiency': np.float64(66.56221153812871), 'pressure_appetite': np.float64(73.39409282700421), 'creation_tools': np.float64(71.38333333333333), 'opportunity_response': np.float64(89.0), 'age_trajectory': np.float64(85.0)}",High
RJ Barrett,2024-25,45.59,55.63,Fragile Star,Moderate Scaling,Fragile Star,-0.019833333333333352,2,4,Mixed,False,"Negative career leverage (-0.020, 2+/4-), NO creation tools: Fundamental skill gaps","{'self_created': np.float64(26.22), 'pressure_appetite': np.float64(82.83), 'difficulty_embrace': np.float64(15.51), 'defensive_survival': np.float64(52.79), 'force_multiplication': np.float64(59.97)}","{'scaling_efficiency': np.float64(27.553399219970856), 'pressure_appetite': np.float64(80.00925266903913), 'creation_tools': np.float64(42.87551572490814), 'opportunity_response': np.float64(68.6), 'age_trajectory': np.float64(85.0)}",High
Jordan Clarkson,2024-25,45.27,53.29,Fragile Star,Moderate Scaling,Fragile Star,-0.021000000000000008,4,6,Hides,False,"Negative career leverage (-0.021, 4+/6-), NO creation tools: Fundamental skill gaps","{'self_created': np.float64(44.72), 'pressure_appetite': np.float64(50.83), 'difficulty_embrace': np.float64(36.96), 'defensive_survival': np.float64(55.76), 'force_multiplication': np.float64(33.88)}","{'scaling_efficiency': np.float64(45.86091019474967), 'pressure_appetite': np.float64(59.59851301115241), 'creation_tools': np.float64(68.1999138634509), 'opportunity_response': np.float64(53.28571428571429), 'age_trajectory': np.float64(30.0)}",High
Miles Bridges,2024-25,42.86,56.06,Fragile Star,Moderate Scaling,Fragile Star,-0.03,1,4,Hides,False,"Negative career leverage (-0.030, 1+/4-), NO creation tools: Fundamental skill gaps","{'self_created': np.float64(32.66), 'pressure_appetite': np.float64(53.83), 'difficulty_embrace': np.float64(31.09), 'defensive_survival': np.float64(60.19), 'force_multiplication': np.float64(43.55)}","{'scaling_efficiency': np.float64(41.25365236913625), 'pressure_appetite': np.float64(66.0), 'creation_tools': np.float64(56.47526579111945), 'opportunity_response': np.float64(58.17142857142857), 'age_trajectory': np.float64(71.66)}",High
Cameron Johnson,2024-25,35.53,65.45,Role Player,High Scaling,Fragile Star,-0.04466666666666665,1,5,Hides,False,"Fragile Star: high usage (22.4%), low CII (35.5), no creation tools","{'self_created': np.float64(27.76), 'pressure_appetite': np.float64(40.02), 'difficulty_embrace': np.float64(28.0), 'defensive_survival': np.float64(58.07), 'force_multiplication': np.float64(28.88)}","{'scaling_efficiency': np.float64(64.75846466267815), 'pressure_appetite': np.float64(60.62202380952381), 'creation_tools': np.float64(59.37947154471544), 'opportunity_response': np.float64(88.79428571428572), 'age_trajectory': np.float64(56.67)}",High
Andrew Wiggins,2024-25,34.2,53.33,Role Player,Moderate Scaling,Fragile Star,-0.028899999999999974,3,7,Hides,False,"Fragile Star: high usage (23.8%), low CII (34.2), no creation tools","{'self_created': np.float64(29.31), 'pressure_appetite': np.float64(37.53), 'difficulty_embrace': np.float64(27.06), 'defensive_survival': np.float64(46.27), 'force_multiplication': np.float64(36.7)}","{'scaling_efficiency': np.float64(44.85743822940509), 'pressure_appetite': np.float64(47.77591036414569), 'creation_tools': np.float64(62.762482065997126), 'opportunity_response': np.float64(70.31428571428572), 'age_trajectory': np.float64(48.34)}",High
Bam Adebayo,2024-25,33.1,57.22,Role Player,Moderate Scaling,Fragile Star,-0.050428571428571434,0,7,Hides,True,"Fragile Star: high usage (23.2%), high minutes (34.3), low CII (33.1), extreme hiding (-0.050)","{'self_created': np.float64(26.71), 'pressure_appetite': np.float64(35.52), 'difficulty_embrace': np.float64(30.71), 'defensive_survival': np.float64(41.35), 'force_multiplication': np.float64(38.65)}","{'scaling_efficiency': np.float64(43.916545105566236), 'pressure_appetite': np.float64(46.905172413793096), 'creation_tools': np.float64(70.69900476590972), 'opportunity_response': np.float64(73.39999999999999), 'age_trajectory': np.float64(71.66)}",High
Deni Avdija,2024-25,30.88,49.1,Role Player,Limited Scaling,Fragile Star,-0.032600000000000004,0,5,Hides,False,"Fragile Star: high usage (22.8%), low CII (30.9), no creation tools","{'self_created': np.float64(33.78), 'pressure_appetite': np.float64(31.29), 'difficulty_embrace': np.float64(13.46), 'defensive_survival': np.float64(41.05), 'force_multiplication': np.float64(40.73)}","{'scaling_efficiency': np.float64(36.607175080558534), 'pressure_appetite': np.float64(25.999999999999996), 'creation_tools': np.float64(47.64313222079589), 'opportunity_response': np.float64(87.28571428571429), 'age_trajectory': np.float64(90.0)}",High
Jonathan Kuminga,2024-25,30.35,44.04,Role Player,Limited Scaling,Fragile Star,-0.0603333333333333,0,3,Hides,False,"Fragile Star: high usage (27.1%), low CII (30.4), extreme hiding (-0.060), no creation tools","{'self_created': np.float64(25.15), 'pressure_appetite': np.float64(41.08), 'difficulty_embrace': np.float64(17.4), 'defensive_survival': np.float64(40.86), 'force_multiplication': np.float64(29.27)}","{'scaling_efficiency': np.float64(34.73510444602846), 'pressure_appetite': np.float64(27.199999999999996), 'creation_tools': np.float64(45.23022680226802), 'opportunity_response': np.float64(51.82857142857143), 'age_trajectory': np.int64(100)}",Medium
